Date,Aluminium [€/t] (Finanzen.net),Blei [€/t] (Finanzen.net),"Zink [€/t] (Finanzen,net)",Nickel [€/t] (Finanzen.net),Kupfer [€/t],Eisenerz [€/t] (Finanzen.net),Strom [€/MWh] (Finanzen.net),Arbeitskosten Deutschland [€/h] (Eurostat),Platinum [€/g] (Heraeus),Gold [€/g] (Heraeus),Silber [€/kg] (Heraeus),Palladium [€/g] (Heraeus),Rhodium [€/g] (Heraeus),Iridium [€/g] (Heraeus),Ruthenium [€/g] (Heraeus),Erdgas [€/MWh] (Finanzen.net),Stahl HRB [€/t] (SteelBenchmarker),ABS Granulat [€/kg] (Plasticker),PC Granulat [€/kg] (Plasticker),PBT Granulat [€/kg] (Plasticker),PA 6 Granulat [€/kg] (Plasticker),PA 6.6 Granulat [€/kg] (Plasticker),POM Granulat [€/kg] (Plasticker),PE-HD Granulat [€/kg] (Plasticker),PE-LD [€/kg] (Plasticker),PP [€/kg] (Plasticker),PS [€/kg] (Plasticker), Holz [€/t] (finanzen.net),Messing MS 58 1. V. Stufe [€/kg] (Westmetall),Molybdän [€/kg]
01.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.2015,"1.530,16","1.537,24","1.819,28","12.443,76",5210.81,58.37,32.01,,,,,,,,,,,,,,,,,,,,,,,
03.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.01.2015,"1.527,82","1.536,21","1.806,07","12.470,67",5149.18,58.65,31.51,,,,,,,,,,,,,,,,,,,,,,,
06.01.2015,"1.505,22","1.542,28","1.828,25","12.874,83",5165.09,60.28,30.95,,,,,,,,,,,,,,,,,,,,,,,
07.01.2015,"1.513,90","1.537,55","1.812,54","13.056,52",5176.14,60.18,31.08,,,,,,,,,,,,,,,,,,,,,,,
08.01.2015,"1.555,48","1.571,80","1.832,22","13.109,68",5195.73,60.18,30.94,,,,,,,,,,,,,,,,,,,,,,,
09.01.2015,"1.534,74","1.541,71","1.815,69","12.943,26",5154.09,59.66,31.18,,,,,,,,,,,,,,,,,,,,,,,
10.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.01.2015,"1.533,68","1.547,63","1.799,51","12.640,52",5099.32,58.81,30.87,,,,,,,,,,,,,,,,,,,,,,,
13.01.2015,"1.515,92","1.529,09","1.769,00","12.700,64",4904.46,58.81,31.22,,,,,,,,,,,,,,,,,,,,,,,
14.01.2015,"1.505,73","1.527,14","1.714,16","12.086,51",4678.12,58.52,31.34,,,,,,,,,,,,,,,,,,,,,,,
15.01.2015,"1.539,55","1.522,79","1.752,36","12.252,79",4864.57,59.56,31.15,,,,,,,,,,,,,,,,,,,,,,,
16.01.2015,"1.591,56","1.527,98","1.778,83","12.421,07",4999.57,59.80,30.95,,,,,,,,,,,,,,,,,,,,,,,
17.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.01.2015,"1.565,27","1.574,75","1.782,42","12.408,44",4885.83,,30.95,,,,,,,,,,,,,,,,,,,,,,,
20.01.2015,"1.596,14","1.581,43","1.789,98","12.461,06",4948.08,59.63,31.06,,,,,,,,,,,,,,,,,,,,,,,
21.01.2015,"1.604,84","1.614,31","1.799,36","12.515,06",4938.46,59.13,31.35,,,,,,,,,,,,,,,,,,,,,,,
22.01.2015,"1.640,25","1.656,54","1.887,66","13.004,05",5003.52,60.43,31.21,,,,,,,,,,,,,,,,,,,,,,,
23.01.2015,"1.634,69","1.633,80","1.879,63","13.134,65",4925.05,61.09,31.21,,,,,,,,,,,,,,,,,,,,,,,
24.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.01.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
